요일,날짜,시간,멤버,제목,URL
월,06.15,9AM,최애리,"♥아침뉴스♥",
월,06.15,11AM,여우연,"소소한 소통",
월,06.15,12PM,나노,"카페유머글",
월,06.15,2PM,눈요,"동요 방송",
월,06.15,2PM,설홍,"기생수 같이보기",
월,06.15,7PM,루첼,"니케 스토리 21지부터",
화,06.16,9AM,최애리,"♥아침뉴스♥",
화,06.16,7PM,나노,"영풍 트럭운전",
화,06.16,7PM,루첼,"증명의 날",
화,06.16,9PM,설홍,"후열 롤",
수,06.17,9AM,최애리,"♥아침뉴스♥",
수,06.17,4PM,여우연,"콘서트 전 마지막 방송",
수,06.17,6PM,눈요,"소통 스플릿픽션",
수,06.17,7PM,루첼,"눈요랑 스플릿픽션",
수,06.17,8PM,여우연,"콘서트 FOXLOG",https://chzzk.naver.com/CHANNEL_ID_yeowooyeon/live
목,06.18,9AM,최애리,"♥아침뉴스♥",
목,06.18,12PM,나노,"부왕소통",
목,06.18,2PM,설홍,"똥겜핀볼",
금,06.19,8AM,나노,"노래방/월드컵",
금,06.19,8AM,루첼,"월드컵 응원",
금,06.19,9AM,최애리,"♥아침뉴스♥ (니케 스토리)",
금,06.19,10AM,설홍,"축구 월드컵 입중계",
금,06.19,4PM,여우연,"콘서트 후열 주루마블",
금,06.19,6PM,눈요,"괴식 마추기",
토,06.20,2PM,설홍,"애교데이 리턴즈",
토,06.20,4PM,여우연,"니케 픽먹 데이",
토,06.20,6PM,눈요,"블루아카이브 스토리",
일,06.21,12PM,나노,"레데리2",
일,06.21,2PM,설홍,"너목(木)보 대회 시상",
일,06.21,4PM,여우연,"애교데이",
일,06.21,6PM,눈요,"동화요정",
일,06.21,7PM,루첼,"야랄소통",
